MSA_ID,MEASURE_DATE,SURVEY_DATE,PROP_ID,PROP_NAME,PROPERTY_STATUS,YEAR_BUILT,PROPERTY_TOTAL_UNITS,PROPERTY_GRADE_WITHIN_SUBMARKET,PROPERTY_GRADE_WITHIN_MARKET,SUBMARKET_GRADE_WITHIN_MARKET,SUBMARKET,MSA_NAME,ADDRESS,CITY,STATE_ID,ZIP,WEBSITE_ADDRESS,LATITUDE,LONGITUDE,CENSUS_TRACT,CENSUS_BLOCK_GROUP,COUNTY_NAME,FIPS_CODE
26420,5/10/17,5/24/17,7053,legacy at westchase,stabilized,1998,324,c+,c+,b+,briar grove/westchase,"houston-the woodlands-sugar land, tx",10070 westpark dr,houston,tx,77042,http://www.legacyatwestchaseapts.com/,29.723717,-95.543503,432400,3,harris county,48201
41940,5/10/17,5/3/17,9214,waterford place,stabilized,2000,238,b-,b-,b,northeast san jose,"san jose-sunnyvale-santa clara, ca",1700 n 1st st,san jose,ca,95112,http://www.essexapartmenthomes.com/california/san-francisco-bay-area/san-jose/waterford-place,37.366268,-121.9107,505100,1,santa clara county,6085
19124,5/10/17,5/12/17,50426,northaven,stabilized,1967,208,b+,b+,b-,far northwest/farmers branch,"dallas-plano-irving, tx",2800 jerridee cir,dallas,tx,75229,www.northavenapartments.com,32.903694,-96.883385,9610,2,dallas county,48113
19124,5/10/17,5/9/17,68689,ashton oaks,stabilized,1987,168,c,b-,b+,collin county/other,"dallas-plano-irving, tx",2003 skyline dr,mckinney,tx,75071,http://www.ashtonoaksapartments.com/,33.220097,-96.654205,30605,3,collin county,48085
12420,5/10/17,5/9/17,12695,wildwood (tx),rehabilitation,1984,344,c-,c-,b,east,"austin-round rock, tx",7610 cameron rd,austin,tx,78752,http://www.wildwoodaustin.com/,30.33153,-97.688667,1812,2,travis county,48453
23420,5/10/17,,71440,fulton village,would not disclose,2012,,a-,,,,"fresno, ca",1901 fulton st ste 101,fresno,ca,93721,http://www.rentgranville.com/property/fulton-village/9,36.741165,-119.7987,100,1,fresno county,6019
41700,5/10/17,5/1/17,3153,kenton place,stabilized,1982,244,a-,b+,b,airport/northeast,"san antonio-new braunfels, tx",14650 nacogdoches rd,san antonio,tx,78247,,29.571795,-98.377586,121804,1,bexar county,48029
48660,5/10/17,5/10/17,80316,brentwood timberlane,stabilized,1980,216,c-,c-,,,"wichita falls, tx",4515 maplewood ave,wichita falls,tx,76308,http://croperatingco.com/4515maplewood/default.aspx,33.861858,-98.530251,12000,4,wichita county,48485
12420,5/10/17,5/18/17,50902,mansions at lakeway,lease up,2017,350,a,a-,b+,travis county west,"austin-round rock, tx",5313 serene hills,lakeway,tx,78738,http://www.mansionslakeway.com/,30.32049,-98.005257,1773,1,travis county,48453
26420,5/10/17,5/22/17,70752,residences at fannin station,lease up,2017,301,b+,a-,b,interloop/south houston,"houston-the woodlands-sugar land, tx",10000 fannin st,houston,tx,77045,www.fanninstation.com,29.658991,-95.406349,334100,2,harris county,48201
31084,5/10/17,5/12/17,11233,cordova park,stabilized,1988,420,b+,c,c-,palmdale/lancaster,"los angeles-long beach-glendale, ca",43530 gadsden ave,lancaster,ca,93534,http://cordovapark.mgproperties.com/,34.672199,-118.14278,900704,1,los angeles county,6037
26420,5/10/17,5/4/17,2667,abbey at conroe,stabilized,1998,468,c-,c,b+,far nw/montgomery county,"houston-the woodlands-sugar land, tx",231 interstate 45 n,conroe,tx,77304,http://www.abbeyconroe.com/,30.311512,-95.473152,693600,2,montgomery county,48339
26420,5/10/17,5/18/17,8837,amli memorial heights,stabilized,2001,380,b+,a+,a,montrose/river oaks,"houston-the woodlands-sugar land, tx",3003 memorial ct,houston,tx,77007,http://www.amli.com/apartments/houston/washington-corridor/houston/memorial-heights,29.76465,-95.391258,510200,2,harris county,48201
36740,5/10/17,5/16/17,21586,arium falcon pines,stabilized,2006,300,b,b+,b,southeast/airport/436/15,"orlando-kissimmee-sanford, fl",10200 falcon pine blvd,orlando,fl,32829,http://www.ariumfalconpines.com/,28.502064,-81.238518,16732,1,orange county,12095
11244,5/10/17,5/10/17,72898,greenbrook apartments,stabilized,1971,,b-,,b-,buena park,"anaheim-santa ana-irvine, ca",8791 walker st,cypress,ca,90630,http://www.greenbrook.wnpmapartments.com/,33.83466,-118.0377,110102,3,orange county,6059
12420,5/10/17,5/17/17,5409,,stabilized,2006,284,a-,b,c,far north central,"austin-round rock, tx",8054 exchange dr,austin,tx,78754,http://www.creekstone-austin.com/,30.330648,-97.664932,1834,1,travis county,48453
23540,5/10/17,5/4/17,83341,hampton oaks apartments,stabilized,1980,150,b,b,,,"gainesville, fl",124 sw 62nd st,gainesville,fl,32607,http://www.hamptonoaksapartments.com/,29.65167,-82.409653,1604,4,alachua county,12001
